lon,lat,HGT surface d=2019080707 anl
280.611050,32.553512,0
280.637728,32.550909,0
280.664405,32.548301,0
280.691080,32.545689,0
280.717754,32.543073,0
280.744428,32.540452,0
280.771099,32.537827,0
280.797770,32.535197,0
280.824439,32.532563,0
280.851107,32.529924,0
280.877774,32.527281,0
280.904440,32.524634,0
280.931104,32.521982,0
280.957767,32.519326,0
280.984429,32.516665,0
281.011090,32.514000,0
281.037749,32.511330,0
281.064408,32.508656,0
281.091064,32.505977,0
281.117720,32.503294,0
281.144375,32.500607,0
281.171028,32.497915,0
281.197680,32.495219,0
281.224330,32.492518,0
281.250980,32.489813,0
281.277628,32.487103,0
281.304275,32.484389,0
281.330920,32.481671,0
281.357565,32.478948,0
281.384208,32.476221,0
281.410850,32.473489,0
281.437490,32.470753,0
281.464129,32.468012,0
281.490767,32.465267,0
281.517404,32.462517,0
281.544040,32.459763,0
281.570674,32.457005,0
281.597307,32.454242,0
281.623938,32.451475,0
281.650568,32.448703,0
281.677197,32.445927,0
281.703825,32.443147,0
281.730452,32.440362,0
281.757077,32.437572,0
281.783700,32.434779,0
281.810323,32.431980,0
281.836944,32.429178,0
281.863564,32.426371,0
281.890183,32.423559,0
281.916800,32.420743,0
281.943416,32.417923,0
281.970030,32.415098,0
281.996644,32.412269,0
282.023256,32.409435,0
282.049867,32.406597,0
282.076476,32.403754,0
282.103084,32.400907,0
282.129691,32.398056,0
282.156296,32.395200,0
282.182900,32.392340,0
282.209503,32.389475,0
282.236104,32.386606,0
282.262704,32.383732,0
282.289303,32.380854,0
282.315901,32.377972,0
282.342497,32.375085,0
282.369091,32.372194,0
282.395685,32.369298,0
282.422277,32.366398,0
282.448867,32.363494,0
282.475457,32.360585,0
282.502045,32.357671,0
282.528631,32.354754,0
282.555217,32.351831,0
282.581801,32.348905,0
282.608383,32.345974,0
282.634964,32.343038,0
282.661544,32.340098,0
282.688123,32.337154,0
282.714700,32.334205,0
282.741275,32.331252,0
282.767850,32.328294,0
